activity_id,activity_name,description,staff_in_charge
1,Basketball,"College basketball team practice",1
2,"Debate Club","Practice and competitions",2
3,"Music Club","Instrumental and vocal practice sessions",3
4,"Drama Club","Rehearsals for college plays and skits",4
5,"Robotics Club","Building and programming robots",5
6,"Art Club","Painting, sketching, and other artistic activities",6
7,"Science Club","Conducting experiments and science projects",7
8,"Chess Club","Chess practice and tournaments",8
9,Swimming,"Swimming practice and competitions",9
10,"Coding Club","Programming and coding challenges",10
11,"Photography Club","Photography techniques and photo walks",11
12,Volunteering,"Community service and volunteering activities",12
13,Yoga,"Yoga sessions and wellness activities",13
14,"Fitness Club","Gym workouts and fitness challenges",14
15,"Environmental Club","Environmental awareness and sustainability projects",15
