attendance_id,student_id,course_id,date,status
1,1,101,2024-07-01,P
2,1,102,2024-07-01,P
3,2,101,2024-07-01,P
4,2,103,2024-07-01,A
5,3,102,2024-07-01,P
6,3,103,2024-07-01,P
7,4,101,2024-07-01,A
8,4,102,2024-07-01,P
9,5,103,2024-07-01,P
10,5,101,2024-07-01,P
11,6,102,2024-07-01,A
12,6,103,2024-07-01,P
13,7,101,2024-07-01,P
14,7,102,2024-07-01,P
15,8,103,2024-07-01,P
16,8,101,2024-07-01,A
17,9,102,2024-07-01,P
18,9,103,2024-07-01,P
19,10,101,2024-07-01,P
20,10,102,2024-07-01,P
21,11,103,2024-07-01,A
22,11,101,2024-07-01,P
23,12,102,2024-07-01,P
24,12,103,2024-07-01,P
25,13,101,2024-07-01,P
26,13,102,2024-07-01,A
27,14,103,2024-07-01,P
28,14,101,2024-07-01,P
29,15,102,2024-07-01,P
30,15,103,2024-07-01,A
31,16,101,2024-07-01,P
32,16,102,2024-07-01,P
33,17,103,2024-07-01,P
34,17,101,2024-07-01,P
35,18,102,2024-07-01,A
36,18,103,2024-07-01,P
37,19,101,2024-07-01,P
38,19,102,2024-07-01,P
39,20,103,2024-07-01,P
40,20,101,2024-07-01,A
41,21,102,2024-07-01,P
42,21,103,2024-07-01,P
43,22,101,2024-07-01,P
44,22,102,2024-07-01,P
45,23,103,2024-07-01,A
46,23,101,2024-07-01,P
47,24,102,2024-07-01,P
48,24,103,2024-07-01,P
49,25,101,2024-07-01,P
50,25,102,2024-07-01,A
51,26,103,2024-07-01,P
52,26,101,2024-07-01,P
53,27,102,2024-07-01,P
54,27,103,2024-07-01,A
55,28,101,2024-07-01,P
56,28,102,2024-07-01,P
57,29,103,2024-07-01,P
58,29,101,2024-07-01,A
59,30,102,2024-07-01,P
60,30,103,2024-07-01,P
