payment_id,student_id,amount,payment_date,payment_method
1,1,1500.00,2024-08-01,"Credit Card"
2,2,1300.00,2024-08-02,"Bank Transfer"
3,3,1450.00,2024-08-03,"Debit Card"
4,4,1200.00,2024-08-04,"Credit Card"
5,5,1600.00,2024-08-05,"Bank Transfer"
6,6,1100.00,2024-08-06,"Credit Card"
7,7,1350.00,2024-08-07,"Debit Card"
8,8,1400.00,2024-08-08,"Bank Transfer"
9,9,1250.00,2024-08-09,"Credit Card"
10,10,1550.00,2024-08-10,"Debit Card"
11,11,1300.00,2024-08-11,"Credit Card"
12,12,1150.00,2024-08-12,"Bank Transfer"
13,13,1500.00,2024-08-13,"Debit Card"
14,14,1200.00,2024-08-14,"Credit Card"
15,15,1650.00,2024-08-15,"Bank Transfer"
16,16,1450.00,2024-08-16,"Debit Card"
17,17,1400.00,2024-08-17,"Credit Card"
18,18,1550.00,2024-08-18,"Bank Transfer"
19,19,1350.00,2024-08-19,"Debit Card"
20,20,1600.00,2024-08-20,"Credit Card"
21,21,1450.00,2024-08-21,"Bank Transfer"
22,22,1500.00,2024-08-22,"Debit Card"
23,23,1250.00,2024-08-23,"Credit Card"
24,24,1550.00,2024-08-24,"Bank Transfer"
25,25,1400.00,2024-08-25,"Credit Card"
26,26,1600.00,2024-08-26,"Debit Card"
27,27,1300.00,2024-08-27,"Bank Transfer"
28,28,1450.00,2024-08-28,"Credit Card"
29,29,1200.00,2024-08-29,"Debit Card"
30,30,1500.00,2024-08-30,"Bank Transfer"
