student_id,activity_id,join_date
1,1,2024-09-01
2,2,2024-09-02
3,3,2024-09-03
4,4,2024-09-04
5,5,2024-09-05
6,6,2024-09-06
7,7,2024-09-07
8,8,2024-09-08
9,9,2024-09-09
10,10,2024-09-10
11,11,2024-09-11
12,12,2024-09-12
13,13,2024-09-13
14,14,2024-09-14
15,15,2024-09-15
16,1,2024-09-16
17,2,2024-09-17
18,3,2024-09-18
19,4,2024-09-19
20,5,2024-09-20
21,6,2024-09-21
22,7,2024-09-22
23,8,2024-09-23
24,9,2024-09-24
25,10,2024-09-25
26,11,2024-09-26
27,12,2024-09-27
28,13,2024-09-28
29,14,2024-09-29
30,15,2024-09-30
